Country,Submarine,Principal Surface Combatants,Patrol and Coastal Combatants,Mine Warfare,Amphibious,Logistics and Supports,Aircraft,Helicopters,UAV
Brunei,0,4,9,,4,,1,21,
Cambodia,0,0,13,,1,1,9,18,
China,118,158,720,57,120,184,2921,175,28
India,18,46,305,,73,43,876,589,35
Indonesia,4,31,136,8,83,18,61,46,1
Laos,0,0,52,,4,,4,19,
Malaysia,2,10,191,4,0,15,44,35,1
Myanmar,1,8,80,,22,13,159,84,4
Philippines,0,3,58,,21,4,59,91,1
Singapore,4,14,26,4,27,5,105,88,17
Thailand,0,15,92,17,17,13,126,70,1
United States,67,126,429,,178,258,4440,1684,527
Vietnam,8,12,75,13,20,22,84,48,
