"Country","Year","Month","Day","Latitude","Longitude","Level","Notes"
"CN/VN",2011,5,26,"12.81","111.45",1,"3 Chinese Maritime Surveillance ships approached Vietnamese survey ship Binh Minh 02 and cut a cable towing seismic monitoring equipment"
"CN",2012,6,26,"12.00","113.00",6,"A patrol team consisting of four China Marine Surveillance (CMS) ships on Tuesday sailed from south China's coastal city of Sanya to the South China Sea to conduct regular patrols."
"CN",2013,2,1,"12.00","113.00",6,"A Chinese People's Liberation Army (PLA) Navy fleet has entered the country's territorial waters in the South China Sea for patrol and training missions, military sources revealed Friday. Comprising the missile destroyer Qingdao and the missile frigates Yantai and Yancheng, the fleet entered the South China Sea at 11:40 am after taking about five hours to pass through the Bashi Channel."
"CN",2013,6,23,"12.00","113.00",6,"On June 14, 2013, China's first maritime police ships appeared in the South China Sea. Two Chinese maritime police ships sailed to the sea via Huangpu Military Academy. The ship numbers were ""China Maritime Police 3210"" and ""China Maritime Police 3102"". In addition to the two ships mentioned above, the ""Sea Monitoring 167 Ship"", ""Sea Monitoring 168 Ship"" and ""Sea Monitoring 169 Ship"" originally affiliated to the China Sea Monitoring South China Sea Corps have also been changed to ""China Maritime Police 3367"" and ""China ""Marine Police 3368"", ""China Maritime Police 3369"". These are the first large tonnage marine police ships after the establishment of the China Marine Police. Number description: The first is the sea area number: 1 for the North Sea, 2 for the East China Sea, and 3 for the South China Sea. The second place is the tonnage of the ship. The last two digits are the original number of the ship. If the ships of the sea monitor, fishery administration, customs, and maritime police encounter the same number, it may change. Places use five-digit numbers."
"CN",2013,2,18,"12.00","113.00",6,"A fleet of Chinese marine surveillance ships departed from Guangzhou on Monday to carry out regular patrol missions in the South China Sea, according to the State Oceanic Administration (SOA). The fleet consists of the Haijian 84 and Haijian 72, an SOA statement issued on Wednesday said."
"CN/US",2013,12,5,"12.00","113.00",6,"The Cowpens was watching China's Liaoning aircraft carrier when a Chinese warship approached the Cowpens at a distance of about 500m, forcing the Cowpens to change its direction to avoid collision"
"CN",2013,12,27,"12.00","113.00",6,"China for the first time sent a large patrol vessel equipped with a helicopter deck to the SCS"
"CN",2013,2,14,"12.00","113.00",6,"A Chinese maritime surveillance fleet patrolled SCS"
"CN",2013,11,26,"12.00","113.00",6,"Chinese aircraft carrier Liaoning conducted routine exercise in SCS"
"CN/US",2013,NA,NA,"12.00","113.00",6,"USS Cowpens had to change its direction to avoid collision when a Chinese landing craft ran across and stopped in front of the Cowpens at a distance of 460 m"
"CN/VN",2014,NA,NA,"12.00","113.00",6,"China mobilized over 120 ships to crash into Vietnamese ships"
"CN/PH",2015,5,21,"10.92","114.08",2,"A Chinese warship stationed near Subi reef in a disputed part of the South China Sea aimed a ìpowerful lightî at a Philippine military plane on a maritime patrol"
"CN/PH",2015,4,19,"10.92","114.08",2,"A Chinese Navy frigate on Sunday, April 19, ordered a Philippine Air Force (PAF) on patrol in the West Philippine Sea (South China Sea) to stay away from the Chinese-occupied Subi (Zamora) Reef."
"CN/VN",2015,11,13,"10.53","113.51",1,"Chinese ships blocked Vietnamese replenishment ship's way, forcing the ship to change its direction"
"CN",2015,7,28,"12.00","113.00",6,"China conducted air and sea drills in the South China Sea"
"CN",2015,12,16,"12.00","113.00",6,"China conducted exercises in the SCS"
"CN",2016,5,5,"12.00","113.00",6,"Chinese South Sea Fleet conducted exercises in the SCS"
"CN",2016,6,13,"12.00","113.00",6,"On June 13th, the Baishan Ship, a commander of a naval landing ship detachment, went to a certain area of ??the South China Sea to carry out a comprehensive offensive and defensive drill. Under the background of actual combat, it organized a series of drills on the shore, shooting at the sea, and launching jamming bombs to further enhance the actual use of weapons by officers and soldiers. Ability and the level of warship emergency operations."
"CN",2016,7,15,"12.00","113.00",6,"China conduct an exercise in the SCS"
"CN",2016,1,15,"12.00","113.00",6,"Chinese warships conducted a live fire exercise in the SCS"
"CN/US",2016,8,8,"12.00","113.00",6,"USS Benfold arrived in Qingdao port, marking the first time a US warship visited China since the arbitration tribunal in the Netherlands ruled a rejection of the ""cow's tongue line""."
"CN/RU",2016,9,12,"12.00","113.00",6,"Russia and China conducted Joint Sea 2016 drills Sep 12-19"
"CN/US",2016,3,5,"12.00","113.00",6,"USS John C. Stennis was closely followed by a large number of Chinese naval ships while operating in the SCS"
"CN",2016,6,NA,"12.00","113.00",6,"China conduct a live-fire exercise in the SCS"
"CN/PH",2016,6,12,"11.05","114.28",2,"Filipino protesters said that Chinese coastguard ships blocked and sprayed them with water as they sailed to a disputed South China Sea/West Philippine Sea shoal to plant a Philippine flag for independence day."
"CN",2017,10,NA,"12.00","113.00",6,"China's new manned submersible returned to port in Sanya, Hainan Province, on Tuesday after completing its first deep-sea testing in the South China Sea. The new submersible is called Shenhai Yongshi, meaning deep-sea warrior. It reached a depth of 4,500 meters during tests while on a 50-day expedition trip on board the science exploration ship Tansuo-1."
"CN",2017,7,10,"12.00","113.00",6,"The ìTansuoî underwater robot has conducted its maiden test dive in the South China Sea.
 
 
 The robot, developed in China, can dive to depths of up to 4,500 meters.
 
 
 ìTansuoî is expected to conduct 20 hours of collaborative operations with the unmanned submersible ""Faxian"" in the same waters.
 
 
 Itís part of a scientific expedition carried out by a team aboard the vessel ""Kexue"" which left port in Qingdao on July 10."
"CN/US",2017,2,19,"12.00","113.00",6,"Missile destroyers Changsha and Haikou, part of the Chinese Navy's Nanhai Fleet, fire at simulated enemy destroyers during a counter-attack drill in the South China Sea on Feb 19, 2017"
"CN",2017,2,10,"12.00","113.00",6,"Three Chinese warships conducted exercises in the South China Sea from Feb 10 - 17, 2017"
"CN/US",2017,8,10,"12.00","113.00",6,"Chinese Defense Ministry strongly objects to the illegal entry of a US warship into China's waters off the Nansha Islands, said a ministry spokesperson Friday. Wu Qian said in a statement that missile frigates Huaibei and Fushun of the Chinese Navy were immediately sent to identify the US warship, warn and expel it. The USS John S. McCain illegally entered the waters near the reef in South China Sea earlier on Thursday. China has sovereignty of the Nansha Islands and its adjacent waters."
