CN,2009,5,17,16.67,112.33,5,"Guangdong's largest fishery patrol vessel Yu Zheng 44183 and another fishery patrol vessel patroled the Paracel Islands"
ID/VN,2010,12,17,1.00,107.00,3,"Indonesian Navy vessel arrested 3 Vietnamese fishing vessels in the Natunas."
CN/ID,2010,,,1.00,107.00,3,"A Chinese maritime enforcement vessel compelled an Indonesian patrol boat to release another illegal Chinese trawler"
CN/VN,2011,5,26,12.81,111.45,1,"3 Chinese Maritime Surveillance ships approached Vietnamese survey ship Binh Minh 02 and cut a cable towing seismic monitoring equipment"
ID/VN,2011,5,5,1.00,107.00,3,"Indonesian Navy vessel arrested 2 Vietnamese fishing vessels in the Natunas."
CN/VN,2011,6,14,16.67,112.33,5,"Vietnamese fishing vessel robbed by Chinese coast guard vessels"
VN,2011,5,21,10.32,107.08,4,"Vietnamese fishing vessel sunken by foreign ship"
CN/VN,2011,6,9,6.78,109.28,1,"Vietnamese seismic survey vessel's cable cut off by Chinese fishing vessel"
CN/PH,2011,3,2,11.33,116.83,1,"2 Chinese patrol boats harassed a Philippine survey vessel"
CN/VN,2011,5,31,8.93,112.75,1,"3 Chinese ships used guns to chase away 4 Vietnamese fishing ships"
CN/VN,2011,7,5,16.67,112.33,5,"Vietnamese fishing vessel chased and robbed by Chinese warship"
CN/VN,2011,6,1,12.87,109.41,2,"3 Chinese vessels threatened 4 Vietnamese fishing vessels in Vietnamese waters"
CN/PH,2011,2,25,10.50,115.75,2,"Chinese warship fired three shots at 3 Filipino fishing vessels F/V Jaime DLS, F/V Mama Lydia DLS and F/V Maricris 12"
VN,2011,7,13,10.72,115.83,5,"Vietnamese fishing vessel captured by Chinese naval vessel"
VN,2011,9,24,16.67,112.33,5,"Vietnamese fishing vessels attacked by foreign military vessel while looking for shelter from storm"
VN,2011,1,25,8.60,110.07,1,"Vietnamese fishing vessel sunken by foreign ship"
CN/PH,2012,4,12,15.15,117.76,2,"The Philippines had pulled its biggest warship out of a standoff with Chinese vessels, but the impasse was not resolved, with China sending a third ship to the disputed waters."
CN,2012,6,26,12.00,113.00,6,"A patrol team consisting of four China Marine Surveillance (CMS) ships on Tuesday sailed from south China's coastal city of Sanya to the South China Sea to conduct regular patrols."
CN/VN,2012,2,20,16.67,112.33,5,"Vietnamese fishing vessel was chased by Chinese warship. The warship fired on the vessel and captured the fishermen"
CN/PH,2012,4,14,15.15,117.76,2,"7 Chinese fishing vessels and 1 Marine survey ship have left Panatag Shoal, Lt Gen Anthony Alcantara, commanding general of the Northern Luzon Command has confirmed."
CN,2012,7,2,9.55,112.89,2,"A patrol team consisting of four China Marine Surveillance (CMS) ships conducted a formation practice near Yongshu Reef in the South China Sea on Monday. The two-hour practice session was fulfilled smoothly but a helicopter scheduled to take part did not do so, due to adverse weather. The CMS patrol sailed from south China's coastal city of Sanya on June 26 to the South China Sea to conduct regular operations. The team is expected to travel more than 2,400 nautical miles (4,500 km) during the patrols."
CN/VN,2012,11,30,17.43,108.03,1,"2 Chinese fishing vessels caused seismic cable cut to Vietnamese survey ship belonging to the Vietnam National Oil and Gas Group"
VN,2012,4,3,9.82,110.57,1,"Vietnamese fishing vessel was sunken by foreign ship"
ID/VN,2012,5,3,1.00,107.00,3,"Ministry of Maritime Affairs and Fisheries vessel arrested 9 Vietnamese fishing vessels in the Natunas."
CN/PH,2012,7,12,8.90,116.28,2,"The Chinese Embassy in the Philippines confirmed that a Chinese Navy warship ran aground at Half Moon Shoal, part of the Spratly Islands that is claimed by both the Philippines and China."
CN,2012,5,9,20.12,116.44,1,"China formally employed oil rig Haiyang Shiyou 981"
ID/IN,2012,9,24,1.00,107.00,3,"Directorate-General of Customs and Excise vessel caught a vessel with a Saint Kitts and Nevis flag in the Natunas with 700 tons of crude oil, suspected of smuggling Indonesian crude oil to either Malaysia or Singapore."
ID/VN,2012,4,16,1.00,107.00,3,"Ministry of Maritime Affairs and Fisheries vessel arrested 1 Vietnamese fishing vessel in the Natunas."
